Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
48,9,3,10,4,Some Random Commen with Id 48
49,9,3,153,3,Some Random Commen with Id 49
50,9,3,69,3,Some Random Commen with Id 50
51,9,3,21,3,Some Random Commen with Id 51
52,11,3,67,4,Some Random Commen with Id 52
53,11,3,118,6,Some Random Commen with Id 53
54,11,3,30,0,Some Random Commen with Id 54
55,11,3,140,4,Some Random Commen with Id 55
56,11,3,97,9,Some Random Commen with Id 56
57,11,3,5,2,Some Random Commen with Id 57
58,11,3,89,6,Some Random Commen with Id 58
59,11,3,10,0,Some Random Commen with Id 59
60,11,3,113,6,Some Random Commen with Id 60
61,12,9,69,6,Some Random Commen with Id 61
62,12,9,89,6,Some Random Commen with Id 62
63,12,9,183,0,Some Random Commen with Id 63
64,13,8,32,4,Some Random Commen with Id 64
65,13,8,146,9,Some Random Commen with Id 65
66,13,8,80,9,Some Random Commen with Id 66
67,13,8,7,5,Some Random Commen with Id 67
68,13,8,153,7,Some Random Commen with Id 68
69,13,8,189,6,Some Random Commen with Id 69
70,14,1,151,6,Some Random Commen with Id 70
71,14,1,41,3,Some Random Commen with Id 71
72,14,1,111,5,Some Random Commen with Id 72
73,14,1,97,4,Some Random Commen with Id 73
74,14,1,165,6,Some Random Commen with Id 74
75,14,1,98,6,Some Random Commen with Id 75
76,15,4,38,8,Some Random Commen with Id 76
77,16,6,18,4,Some Random Commen with Id 77
78,16,6,182,8,Some Random Commen with Id 78
79,16,6,12,6,Some Random Commen with Id 79
80,16,6,131,9,Some Random Commen with Id 80
81,16,6,144,9,Some Random Commen with Id 81
82,16,6,35,2,Some Random Commen with Id 82
83,16,6,34,7,Some Random Commen with Id 83
84,17,7,13,1,Some Random Commen with Id 84
85,17,7,58,7,Some Random Commen with Id 85
86,17,7,106,1,Some Random Commen with Id 86
87,17,7,86,7,Some Random Commen with Id 87
88,17,7,173,5,Some Random Commen with Id 88
89,17,7,134,5,Some Random Commen with Id 89
90,17,7,1,2,Some Random Commen with Id 90
91,17,7,154,3,Some Random Commen with Id 91
92,17,7,131,3,Some Random Commen with Id 92
93,18,5,179,0,Some Random Commen with Id 93
94,18,5,33,6,Some Random Commen with Id 94
95,19,1,146,7,Some Random Commen with Id 95
96,19,1,155,4,Some Random Commen with Id 96
97,19,1,120,1,Some Random Commen with Id 97
98,19,1,51,0,Some Random Commen with Id 98
99,19,1,135,7,Some Random Commen with Id 99
100,19,1,89,2,Some Random Commen with Id 100
101,19,1,89,2,Some Random Commen with Id 101
102,19,1,9,7,Some Random Commen with Id 102
103,20,5,73,7,Some Random Commen with Id 103
104,20,5,142,0,Some Random Commen with Id 104
105,20,5,86,0,Some Random Commen with Id 105
106,21,8,154,1,Some Random Commen with Id 106
107,21,8,107,0,Some Random Commen with Id 107
108,21,8,82,9,Some Random Commen with Id 108
109,21,8,38,0,Some Random Commen with Id 109
110,21,8,60,2,Some Random Commen with Id 110
111,21,8,15,0,Some Random Commen with Id 111
112,21,8,149,0,Some Random Commen with Id 112
113,21,8,42,8,Some Random Commen with Id 113
114,22,2,187,8,Some Random Commen with Id 114
115,23,1,23,2,Some Random Commen with Id 115
116,23,1,36,0,Some Random Commen with Id 116
117,23,1,32,5,Some Random Commen with Id 117
118,23,1,97,2,Some Random Commen with Id 118
119,24,0,180,9,Some Random Commen with Id 119
120,26,3,171,1,Some Random Commen with Id 120
121,26,3,129,4,Some Random Commen with Id 121
122,26,3,47,7,Some Random Commen with Id 122
123,26,3,9,4,Some Random Commen with Id 123
124,26,3,71,1,Some Random Commen with Id 124
125,27,3,47,9,Some Random Commen with Id 125
126,27,3,111,7,Some Random Commen with Id 126
127,27,3,150,3,Some Random Commen with Id 127
128,28,9,55,2,Some Random Commen with Id 128
129,30,7,173,4,Some Random Commen with Id 129
130,30,7,44,8,Some Random Commen with Id 130
131,30,7,179,2,Some Random Commen with Id 131
132,30,7,117,7,Some Random Commen with Id 132
133,30,7,111,2,Some Random Commen with Id 133
134,30,7,29,2,Some Random Commen with Id 134
135,30,7,193,0,Some Random Commen with Id 135
136,30,7,106,0,Some Random Commen with Id 136
137,31,4,114,1,Some Random Commen with Id 137
138,31,4,81,8,Some Random Commen with Id 138
139,31,4,124,8,Some Random Commen with Id 139
140,33,1,10,2,Some Random Commen with Id 140
141,33,1,183,8,Some Random Commen with Id 141
142,33,1,162,3,Some Random Commen with Id 142
143,33,1,84,4,Some Random Commen with Id 143
144,34,1,8,1,Some Random Commen with Id 144
145,34,1,105,5,Some Random Commen with Id 145
146,34,1,100,2,Some Random Commen with Id 146
147,34,1,121,8,Some Random Commen with Id 147
148,35,5,103,0,Some Random Commen with Id 148
149,35,5,95,6,Some Random Commen with Id 149
150,35,5,117,7,Some Random Commen with Id 150
151,35,5,117,0,Some Random Commen with Id 151
152,35,5,90,1,Some Random Commen with Id 152
153,35,5,174,6,Some Random Commen with Id 153
154,35,5,48,0,Some Random Commen with Id 154
155,35,5,150,4,Some Random Commen with Id 155
156,36,5,160,6,Some Random Commen with Id 156
157,36,5,99,1,Some Random Commen with Id 157
158,36,5,136,1,Some Random Commen with Id 158
159,36,5,27,0,Some Random Commen with Id 159
160,36,5,33,2,Some Random Commen with Id 160
161,36,5,127,3,Some Random Commen with Id 161
162,37,4,196,9,Some Random Commen with Id 162
163,37,4,115,8,Some Random Commen with Id 163
164,37,4,150,6,Some Random Commen with Id 164
165,37,4,125,0,Some Random Commen with Id 165
166,37,4,21,5,Some Random Commen with Id 166
167,37,4,160,4,Some Random Commen with Id 167
168,37,4,46,1,Some Random Commen with Id 168
169,37,4,102,3,Some Random Commen with Id 169
170,37,4,165,3,Some Random Commen with Id 170
171,39,7,113,8,Some Random Commen with Id 171
172,39,7,138,2,Some Random Commen with Id 172
173,39,7,167,9,Some Random Commen with Id 173
174,39,7,21,5,Some Random Commen with Id 174
175,39,7,71,7,Some Random Commen with Id 175
176,39,7,63,2,Some Random Commen with Id 176
177,39,7,185,4,Some Random Commen with Id 177
